Gender,Age,Height,Weight,FHWOW,FAVC,NO_OF_MEALS,PRIMARY_MEALS,WATERINTAKE,FAF,WeightClasses
Female,23,1.63,45,yes,no,3,3,3,2,Insufficient_Weight
Female,24,1.6,45,yes,no,2,3,2,1,Insufficient_Weight
Female,24,1.7,80,yes,yes,2,3,3,0,Overweight
Female,23,1.65,90,yes,yes,2,3,3,0,Obesity
Male,23,1.65,60,yes,no,2,3,2,0,Normal_Weight
Female,19,1.63,58,no,no,3,3,2,0,Normal_Weight
Male,30,1.8,91,yes,yes,2,3,2,0,Overweight
Male,23,1.67,85.5,yes,yes,2,3,2,0,Obesity
Female,19,1.6,45,no,no,3,3,3,2,Insufficient_Weight
Male,25,1.7,83,yes,yes,2,3,2,0,Overweight
Male,23,1.65,58.5,yes,no,2,3,2,0,Normal_Weight
Male,21,1.85,83,yes,yes,2,1,3,1,Normal_Weight
Male,19,1.82,87,yes,yes,2,3,2,0,Overweight
Female,22,1.65,65,yes,yes,2,3,2,1,Normal_Weight
Female,29,1.7,78,yes,yes,3,3,1,2,Overweight
Female,25,1.63,93,no,no,3,4,1,2,Obesity
Female,20,1.61,64,yes,no,3,3,2,0,Normal_Weight
Male,55,1.78,84,yes,no,3,4,3,3,Overweight
Female,20,1.6,57,no,no,3,3,2,1,Normal_Weight
Female,24,1.6,48,no,yes,3,3,2,2,Normal_Weight
Male,26,1.7,70,yes,no,3,1,2,2,Normal_Weight
Female,23,1.66,60,yes,no,2,3,2,3,Normal_Weight
Female,21,1.52,42,no,no,3,1,1,0,Insufficient_Weight
Female,21,1.52,42,no,no,3,1,1,0,Insufficient_Weight
Male,23,1.72,70,no,no,2,3,2,3,Normal_Weight
Female,21,1.69,63,no,yes,3,1,1,0,Normal_Weight
Male,22,1.7,66.4,yes,no,2,3,2,0,Normal_Weight
Female,21,1.55,57,no,yes,2,4,2,2,Normal_Weight
Female,22,1.65,58,yes,yes,3,4,2,1,Normal_Weight
Female,38,1.56,80,yes,yes,2,3,2,0,Obesity
Female,25,1.57,55,no,yes,2,1,2,2,Normal_Weight
Female,25,1.57,55,no,yes,2,1,2,2,Normal_Weight
Male,22,1.88,90,yes,yes,2,3,1,0,Overweight
Male,22,1.75,95,yes,no,2,3,3,3,Obesity
Female,21,1.65,88,yes,yes,3,1,3,2,Obesity
Male,21,1.75,75,yes,yes,3,3,2,0,Normal_Weight
Female,22,1.58,58,yes,yes,2,1,1,0,Normal_Weight
Female,18,1.56,51,yes,yes,2,4,2,1,Normal_Weight
Female,22,1.5,49,yes,no,2,1,2,3,Normal_Weight
Female,19,1.61,62,yes,yes,3,1,2,1,Normal_Weight
Female,17,1.75,57,yes,yes,3,3,2,0,Normal_Weight
Female,15,1.65,86,yes,yes,3,3,1,3,Obesity
Female,17,1.7,85,yes,no,2,3,2,1,Overweight
Male,23,1.62,53,yes,yes,2,3,2,1,Normal_Weight
Female,19,1.63,76,yes,no,3,3,3,2,Overweight
Female,23,1.67,75,yes,yes,2,3,2,0,Overweight
Male,23,1.87,95,yes,yes,1,3,2,0,Overweight
Male,21,1.75,50,yes,no,3,4,1,1,Insufficient_Weight
Male,24,1.66,67,yes,yes,3,1,2,1,Normal_Weight
Male,23,1.76,90,no,yes,3,3,1,0,Overweight
Male,18,1.75,80,yes,yes,2,3,2,0,Overweight
Male,19,1.67,68,no,yes,2,3,2,1,Normal_Weight
Female,19,1.65,61,no,yes,3,1,3,1,Normal_Weight
Male,20,1.72,70,yes,yes,3,3,1,0,Normal_Weight
Male,27,1.7,78,no,yes,3,3,3,1,Overweight
Female,20,1.58,53,yes,yes,2,4,2,1,Normal_Weight
Male,23,1.62,58,no,no,2,3,1,1,Normal_Weight
Female,19,1.65,56,yes,yes,3,3,3,1,Normal_Weight
Female,61,1.65,66,no,yes,3,3,2,1,Normal_Weight
Male,30,1.77,109,yes,yes,3,3,1,2,Obesity
Male,24,1.7,75,yes,yes,2,3,2,1,Overweight
Male,25,1.79,72,yes,yes,2,3,2,1,Normal_Weight
Male,44,1.6,80,yes,no,2,3,3,0,Obesity
Male,31,1.76,75,yes,no,3,3,3,3,Normal_Weight
Male,25,1.7,68,no,yes,2,3,2,0,Normal_Weight
Male,23,1.89,65,yes,yes,3,3,3,1,Insufficient_Weight
Male,25,1.87,66,no,yes,3,3,2,2,Normal_Weight
Male,23,1.74,93.5,no,yes,2,3,1,1,Obesity
Female,34,1.68,75,no,yes,3,1,1,0,Overweight
Male,22,1.61,67,yes,no,2,4,3,2,Overweight
Male,21,1.62,70,no,yes,2,1,3,1,Overweight
Female,24,1.56,51,no,no,3,3,2,2,Normal_Weight
Female,36,1.63,80,yes,no,3,3,1,0,Obesity
Female,27,1.6,61,no,yes,3,3,2,0,Normal_Weight
Female,32,1.67,90,yes,yes,3,1,2,2,Obesity
Male,25,1.78,78,yes,yes,2,1,2,2,Normal_Weight
Female,30,1.62,59,yes,yes,3,3,2,2,Normal_Weight
Female,38,1.5,60,yes,yes,2,1,2,0,Overweight
Male,34,1.69,84,yes,no,2,3,3,2,Overweight
Male,22,1.74,94,yes,yes,2,3,2,0,Obesity
Female,31,1.68,63,yes,yes,3,1,2,1,Normal_Weight
Female,35,1.53,45,yes,no,3,3,1,0,Normal_Weight
Male,21,1.67,60,yes,yes,2,3,2,2,Normal_Weight
Female,40,1.55,62,yes,no,3,3,3,0,Overweight
Male,27,1.64,78,yes,yes,2,1,2,0,Overweight
Male,20,1.83,72,yes,no,3,3,1,2,Normal_Weight
Male,55,1.65,80,no,yes,2,3,2,1,Overweight
Female,21,1.63,60,yes,yes,3,3,2,2,Normal_Weight
Male,25,1.89,75,no,no,3,3,2,3,Normal_Weight
Male,35,1.77,85,yes,no,3,3,3,2,Overweight
Male,30,1.92,130,yes,no,2,3,1,1,Obesity
Female,29,1.74,72,yes,no,3,3,2,0,Normal_Weight
Male,20,1.65,80,yes,no,2,3,2,1,Overweight
Female,22,1.73,79,yes,yes,2,1,2,1,Overweight
Female,45,1.63,77,yes,yes,2,3,1,0,Overweight
Male,22,1.72,82,no,yes,2,1,2,2,Overweight
Male,18,1.6,58,yes,yes,2,3,2,1,Normal_Weight
Female,23,1.65,59,no,no,3,1,2,1,Normal_Weight
Male,18,1.74,64,no,no,3,3,2,0,Normal_Weight
Male,21,1.62,70,no,yes,2,1,3,1,Overweight
Female,38,1.64,59.8,yes,yes,2,3,2,2,Normal_Weight
Female,18,1.57,48,yes,yes,3,1,1,1,Normal_Weight
Male,22,1.84,84,yes,yes,3,3,2,3,Normal_Weight
Male,26,1.91,84,yes,yes,3,3,2,2,Normal_Weight
Male,21,1.62,70,no,yes,2,1,3,1,Overweight
Female,18,1.58,48,no,yes,2,3,2,1,Normal_Weight
Female,23,1.68,67,yes,yes,2,3,1,0,Normal_Weight
Female,22,1.68,52,no,yes,3,3,2,0,Insufficient_Weight
Female,23,1.48,60,yes,yes,2,1,1,0,Overweight
Male,21,1.62,70,no,yes,2,1,3,1,Overweight
Female,31,1.62,68,no,no,3,3,2,1,Overweight
Male,39,1.78,96,yes,no,2,3,3,1,Obesity
Male,25,1.78,98,yes,no,2,3,3,3,Obesity
Male,35,1.78,105,yes,yes,3,1,3,3,Obesity
Female,33,1.63,62,yes,yes,2,3,2,1,Normal_Weight
Male,20,1.6,56,no,yes,2,3,2,1,Normal_Weight
Male,26,1.75,80,yes,yes,3,1,2,2,Overweight
Male,20,1.83,85,yes,no,3,3,3,3,Overweight
Male,20,1.78,68,no,no,2,1,3,2,Normal_Weight
Female,23,1.6,83,yes,yes,3,3,3,3,Obesity
Male,19,1.8,85,yes,yes,3,3,2,1,Overweight
Male,22,1.75,74,yes,no,2,3,2,1,Normal_Weight
Male,41,1.75,118,yes,yes,2,3,2,0,Obesity
Female,18,1.59,40,yes,yes,2,1,1,0,Insufficient_Weight
Female,23,1.66,60,yes,yes,2,1,1,1,Normal_Weight
Female,23,1.63,83,yes,no,3,1,3,1,Obesity
Female,41,1.54,80,yes,yes,2,3,1,0,Obesity
Female,26,1.56,102,yes,yes,3,3,1,0,Obesity
Male,29,1.69,90,yes,no,2,3,3,1,Obesity
Male,27,1.83,71,yes,yes,2,3,2,3,Normal_Weight
Female,23,1.6,78,yes,yes,2,1,2,1,Obesity
Male,19,1.75,100,yes,yes,2,3,2,2,Obesity
Male,30,1.75,73,yes,no,2,3,2,1,Normal_Weight
Female,22,1.69,65,yes,yes,2,3,2,1,Normal_Weight
Female,22,1.69,65,yes,yes,2,3,2,1,Normal_Weight
Male,20,1.8,114,yes,yes,2,3,2,0,Obesity
Female,21,1.63,51,no,yes,2,1,1,1,Normal_Weight
Female,24,1.5,63,yes,no,2,1,2,0,Overweight
Male,21,1.8,62,yes,yes,3,3,2,1,Normal_Weight
Male,21,1.65,53,yes,yes,2,3,2,1,Normal_Weight
Male,21,1.68,70,yes,yes,3,3,3,0,Normal_Weight
Female,23,1.6,63,yes,no,3,3,2,3,Normal_Weight
Male,21,1.71,75,no,no,2,3,3,3,Overweight
Female,21,1.5,42.3,yes,no,1,1,2,3,Normal_Weight
Female,21,1.6,68,yes,yes,2,3,3,1,Overweight
Female,21,1.75,78,yes,no,2,3,2,0,Overweight
Male,23,1.72,82,yes,yes,2,1,1,1,Overweight
Female,21,1.72,66.5,yes,yes,3,4,3,0,Normal_Weight
Female,22,1.61,63,yes,yes,3,3,3,1,Normal_Weight
Female,23,1.63,82,yes,yes,2,1,2,0,Obesity
Male,25,1.83,121,yes,no,3,3,3,2,Obesity
Female,20,1.6,50,no,yes,2,3,1,0,Normal_Weight
Female,24,1.62,58,no,yes,3,3,2,1,Normal_Weight
Female,40,1.68,80,no,no,3,3,3,0,Overweight
Male,32,1.75,120,yes,no,3,3,3,0,Obesity
Male,20,1.9,91,yes,yes,3,4,3,2,Overweight
Female,21,1.63,66,yes,yes,3,1,3,0,Normal_Weight
Female,51,1.59,50,yes,no,3,3,3,2,Normal_Weight
Female,34,1.68,77,yes,no,3,1,2,1,Overweight
Female,19,1.59,49,yes,yes,2,1,2,2,Normal_Weight
Female,19,1.69,70,yes,no,2,1,2,2,Normal_Weight
Female,21,1.66,59,no,yes,1,3,2,3,Normal_Weight
Female,19,1.64,53,yes,yes,3,3,1,1,Normal_Weight
Female,20,1.62,53,no,yes,3,1,3,1,Normal_Weight
Female,19,1.7,64,yes,yes,3,3,3,3,Normal_Weight
Female,17,1.63,65,no,yes,2,1,3,1,Normal_Weight
Male,22,1.6,66,no,yes,3,3,2,3,Overweight
Female,20,1.63,64,yes,yes,1,3,2,0,Normal_Weight
Male,33,1.85,99,yes,yes,2,3,3,1,Overweight
Female,21,1.54,49,yes,no,2,1,2,2,Normal_Weight
Female,20,1.64,49,no,no,3,3,2,2,Insufficient_Weight
Female,20,1.57,60,no,yes,3,3,3,0,Normal_Weight
Female,20,1.62,52,no,yes,3,3,1,3,Normal_Weight
Male,21,1.72,72,yes,yes,3,3,3,3,Normal_Weight
Male,21,1.76,78,yes,yes,3,1,2,3,Overweight
Female,20,1.65,75,yes,yes,3,1,2,1,Overweight
Male,20,1.67,78,yes,no,2,1,3,0,Overweight
Male,56,1.79,90,yes,no,2,3,2,1,Overweight
Female,26,1.59,47,yes,yes,2,1,2,0,Normal_Weight
Female,22,1.64,56,yes,no,3,3,2,0,Normal_Weight
Male,19,1.78,81,yes,no,1,3,2,3,Overweight
Male,18,1.75,85,yes,no,2,3,3,1,Overweight
Male,19,1.85,115,no,no,2,3,3,1,Obesity
Male,18,1.7,80,no,no,3,1,1,1,Overweight
Female,18,1.67,91,yes,yes,1,3,1,0,Obesity
Male,21,1.72,75,no,yes,2,3,1,1,Overweight
Female,28,1.7,73,yes,no,2,3,2,2,Overweight
Male,18,1.74,70,no,yes,2,3,2,1,Normal_Weight
Male,23,1.74,53,no,yes,2,3,1,3,Insufficient_Weight
Male,18,1.87,67,yes,yes,3,3,3,1,Normal_Weight
Male,18,1.7,50,no,yes,1,3,1,2,Insufficient_Weight
Female,39,1.65,50,no,yes,3,4,2,0,Insufficient_Weight
Male,38,1.7,78,no,yes,3,3,2,0,Overweight
Male,17,1.67,60,no,no,2,4,2,0,Normal_Weight
Male,23,1.72,66,yes,yes,2,3,2,0,Normal_Weight
Male,23,1.82,107,no,yes,2,3,3,0,Obesity
Female,19,1.5,50,no,yes,2,3,1,0,Normal_Weight
Male,18,1.7,60,no,yes,2,3,2,2,Normal_Weight
Male,25,1.71,71,yes,yes,2,3,2,0,Normal_Weight
Female,25,1.61,61,no,no,2,3,1,2,Normal_Weight
Female,18,1.5,50,yes,yes,3,3,2,0,Normal_Weight
Male,16,1.67,50,yes,yes,2,1,3,1,Insufficient_Weight
Male,21,1.82,67,no,yes,2,4,3,3,Normal_Weight
Female,32,1.57,57,yes,yes,3,3,2,0,Normal_Weight
Male,18,1.79,52,no,no,3,3,2,1,Insufficient_Weight
Male,21,1.75,62,no,yes,3,4,2,0,Normal_Weight
Male,18,1.7,55,yes,yes,2,3,2,0,Normal_Weight
Female,18,1.62,55,yes,yes,2,3,1,1,Normal_Weight
Male,17,1.69,60,no,no,2,3,3,2,Normal_Weight
Male,20,1.77,70,yes,yes,1,1,2,1,Normal_Weight
Male,21,1.79,105,yes,yes,2,3,1,0,Obesity
Female,21,1.6,61,no,yes,2,3,1,1,Normal_Weight
Female,18,1.6,58,yes,yes,2,3,3,3,Normal_Weight
Female,17,1.56,51,no,yes,3,3,1,0,Normal_Weight
Male,19,1.88,79,no,no,2,3,3,3,Normal_Weight
Male,16,1.82,71,yes,yes,2,3,2,2,Normal_Weight
Male,17,1.8,58,no,yes,2,3,2,2,Insufficient_Weight
Male,21,1.7,65,yes,yes,2,3,1,1,Normal_Weight
Male,19,1.82,75,yes,no,2,3,2,1,Normal_Weight
Male,18,1.86,110,yes,yes,2,1,2,1,Obesity
Female,16,1.66,58,no,no,2,1,1,0,Normal_Weight
Female,21,1.53,53,no,yes,3,3,2,2,Normal_Weight
Male,26,1.74,80,no,no,2,3,2,2,Overweight
Male,18,1.8,80,yes,yes,2,3,1,0,Normal_Weight
Male,23,1.7,75,no,yes,3,3,3,1,Overweight
Male,26,1.7,70,no,yes,2,3,1,0,Normal_Weight
Male,18,1.72,55,no,yes,2,4,2,2,Normal_Weight
Male,16,1.84,45,yes,yes,3,3,3,3,Insufficient_Weight
Female,16,1.57,49,no,yes,2,4,2,0,Normal_Weight
Male,20,1.8,85,yes,no,2,3,3,2,Overweight
Male,23,1.75,120,yes,yes,2,3,2,2,Obesity
Female,24,1.56,60,yes,yes,1,3,2,0,Normal_Weight
Female,23,1.59,48,yes,yes,2,1,1,0,Normal_Weight
Male,20,1.8,75,no,yes,3,4,3,2,Normal_Weight
Female,16,1.66,58,no,no,2,1,1,0,Normal_Weight
Male,17,1.79,57,yes,yes,2,4,2,2,Insufficient_Weight
Male,17,1.72,62,no,yes,2,3,2,3,Normal_Weight
Female,16,1.6,57,no,yes,3,3,1,3,Normal_Weight
Male,17,1.66,56,yes,yes,1,3,2,1,Normal_Weight
Female,26,1.65,63,no,yes,3,3,1,1,Normal_Weight
Male,26,1.7,72,no,yes,2,3,2,0,Normal_Weight
Male,38,1.75,75,yes,no,3,3,1,2,Normal_Weight
Male,18,1.75,70,no,yes,3,4,2,1,Normal_Weight
Female,25,1.56,45,no,yes,2,3,1,0,Normal_Weight
Female,27,1.55,63,no,yes,2,3,1,0,Overweight
Male,21,1.67,67,yes,yes,3,1,2,1,Normal_Weight
Male,38,1.75,75,yes,no,3,3,1,3,Normal_Weight
Female,23,1.75,56,no,no,3,3,2,2,Insufficient_Weight
Male,18,1.8,72,yes,yes,2,3,2,3,Normal_Weight
Female,30,1.65,71,yes,yes,2,3,1,0,Overweight
Female,21,1.55,58,no,yes,2,1,1,1,Normal_Weight
Male,18,1.7,55.3,yes,yes,3,3,2,3,Normal_Weight
Male,23,1.72,76,yes,no,3,4,1,0,Overweight
Male,19,1.74,74,yes,no,3,1,3,3,Normal_Weight
Female,19,1.65,82,yes,yes,3,3,1,0,Obesity
Female,17,1.8,50,no,yes,3,4,1,2,Insufficient_Weight
Male,17,1.74,56,yes,yes,2,3,2,2,Normal_Weight
Male,27,1.85,75,yes,yes,2,1,2,1,Normal_Weight
Female,23,1.7,56,no,no,3,4,3,3,Normal_Weight
Female,18,1.45,53,no,yes,2,3,2,1,Overweight
Male,19,1.7,50,no,yes,1,4,1,2,Insufficient_Weight
Male,20,1.7,65,no,yes,2,3,2,0,Normal_Weight
Male,18,1.78,64.4,yes,yes,3,3,2,3,Normal_Weight
Female,17,1.6,65,no,yes,3,1,2,1,Overweight
Female,19,1.53,42,no,no,2,3,1,2,Insufficient_Weight
Male,21,1.8,72,no,yes,3,3,2,1,Normal_Weight
Male,20,1.6,50,no,no,2,3,1,0,Normal_Weight
Male,23,1.74,105,yes,yes,3,3,2,1,Obesity
Male,23,1.65,66,no,no,3,3,2,3,Normal_Weight
Male,18,1.87,173,yes,yes,3,3,2,2,Obesity
Male,17,1.7,55,no,yes,3,3,2,3,Normal_Weight
Female,21,1.54,47,yes,no,3,3,1,2,Normal_Weight
Male,17,1.8,97,yes,yes,2,3,3,1,Overweight
Male,18,1.82,80,yes,yes,2,3,2,3,Normal_Weight
Male,20,1.98,125,yes,yes,2,3,3,1,Obesity
Male,17,1.75,70,yes,no,2,3,1,3,Normal_Weight
Female,26,1.65,60,no,no,3,4,2,2,Normal_Weight
Female,17,1.6,53,no,yes,1,3,1,2,Normal_Weight
Female,24,1.6,51,yes,yes,1,3,2,0,Normal_Weight
Female,17,1.6,59,no,yes,2,3,2,1,Normal_Weight
Female,27,1.55,62,no,yes,3,1,1,1,Overweight
Male,17,1.9,60,no,no,3,3,2,3,Insufficient_Weight
Female,17,1.7,56,yes,yes,1,3,1,1,Normal_Weight
Male,41,1.75,110,yes,no,2,1,1,1,Obesity
Female,33,1.56,48,yes,no,2,3,2,1,Normal_Weight
Male,20,1.87,75,no,yes,2,3,1,1,Normal_Weight
Female,40,1.56,80,yes,yes,2,1,2,2,Obesity
Female,37,1.65,73,yes,no,3,3,2,1,Overweight
Male,19,1.8,80,no,yes,2,1,2,2,Normal_Weight
Male,24,1.84,86,yes,yes,2,1,2,2,Overweight
Male,24,1.7,68,no,yes,3,3,2,0,Normal_Weight
Male,33,1.72,83,yes,yes,2,1,2,3,Overweight
Female,40,1.58,63,no,yes,2,3,2,3,Overweight
Female,37,1.68,83,yes,yes,2,1,2,0,Overweight
Male,20,1.58,74,no,no,3,3,2,3,Overweight
Male,19,1.8,60,no,yes,2,3,1,1,Normal_Weight
Male,17,1.62,69,yes,yes,3,1,2,1,Overweight
Female,18,1.62,58,no,yes,3,3,1,0,Normal_Weight
Female,21,1.54,56,no,yes,2,1,2,0,Normal_Weight
Male,18,1.76,70,yes,yes,2,4,2,2,Normal_Weight
Male,41,1.8,92,yes,yes,2,1,3,1,Overweight
Female,36,1.58,60,yes,no,3,3,1,2,Normal_Weight
Male,18,1.76,68,no,no,2,4,2,1,Normal_Weight
Male,18,1.73,70,no,yes,3,3,1,2,Normal_Weight
Male,17,1.7,70,yes,yes,3,3,2,0,Normal_Weight
Male,25,1.7,83,no,yes,3,3,3,3,Overweight
Male,21,1.8,75,yes,yes,3,3,1,2,Normal_Weight
Female,29,1.6,56,yes,no,2,3,1,0,Normal_Weight
Male,17,1.7,98,yes,no,2,3,2,0,Obesity
Female,18,1.6,60,yes,yes,3,1,1,0,Normal_Weight
Female,16,1.55,45,no,yes,2,3,2,1,Normal_Weight
Female,18,1.59,53,no,no,1,3,1,1,Normal_Weight
Female,37,1.5,75,yes,yes,2,3,1,0,Obesity
Male,18,1.78,108,yes,no,2,3,3,1,Obesity
Female,16,1.61,65,yes,yes,1,1,2,0,Overweight
Male,23,1.71,50,yes,yes,2,3,3,0,Insufficient_Weight
Female,18,1.7,50,no,no,2,3,2,0,Insufficient_Weight
Male,18,1.76,69.5,no,no,3,3,3,2,Normal_Weight
Male,18,1.7,78,no,yes,1,3,2,0,Overweight
Female,17,1.53,55,yes,yes,2,3,1,0,Normal_Weight
Female,20,1.54,39,yes,yes,1,3,2,3,Insufficient_Weight
Female,38,1.55,59,yes,no,3,3,1,2,Normal_Weight
Male,20,1.66,60,no,yes,2,4,3,0,Normal_Weight
Male,21,1.85,125,yes,yes,3,1,1,0,Obesity
Male,21,1.65,60,no,no,3,1,1,0,Normal_Weight
Male,18,1.65,70,yes,no,2,3,2,0,Overweight
Male,26,1.83,82,no,yes,2,3,2,1,Normal_Weight
Male,27,1.83,99,yes,yes,3,1,2,2,Overweight
Female,26,1.66,112,yes,no,3,3,3,0,Obesity
Male,34,1.78,73,no,yes,2,3,2,3,Normal_Weight
Male,18,1.74,86,no,no,3,3,2,3,Overweight
Male,33,1.76,66.5,no,no,2,3,2,3,Normal_Weight
Female,19,1.51,59,yes,yes,3,3,1,1,Overweight
Male,20,1.81,79,yes,no,3,1,2,0,Normal_Weight
Female,33,1.55,55,yes,yes,3,1,3,2,Normal_Weight
Male,20,1.83,66,no,no,2,3,2,1,Normal_Weight
Female,20,1.6,65,no,no,3,3,2,0,Overweight
Male,33,1.85,85,no,yes,2,3,2,1,Normal_Weight
Male,33,1.75,85,no,no,2,3,2,1,Overweight
Male,33,1.83,113,yes,yes,2,1,2,1,Obesity
Male,14,1.71,72,yes,yes,3,3,3,2,Normal_Weight
Male,34,1.84,88,no,yes,3,3,1,2,Overweight
Male,18,1.77,87,yes,yes,3,3,2,1,Overweight
Male,18,1.7,90,no,yes,3,3,2,2,Obesity
Male,29,1.62,89,yes,yes,1,3,1,0,Obesity
Male,18,1.85,60,yes,yes,3,4,2,2,Insufficient_Weight
Male,18,1.84,60,yes,yes,3,4,2,2,Insufficient_Weight
Male,19,1.75,58,no,yes,2,3,2,2,Normal_Weight
Male,33,1.85,93,yes,yes,2,3,1,1,Overweight
Male,33,1.74,76,no,no,2,3,1,0,Overweight
Female,19,1.61,53.8,yes,yes,2,3,2,2,Normal_Weight
Male,22,1.75,70,no,no,2,3,3,1,Normal_Weight
Female,20,1.67,60,no,yes,3,3,2,3,Normal_Weight
Male,23,1.7,69,no,yes,3,1,1,2,Normal_Weight
Male,26,1.9,80,yes,yes,2,3,1,1,Normal_Weight
Male,18,1.65,85,no,yes,2,3,1,1,Obesity
Female,18,1.6,55,no,yes,2,4,2,2,Normal_Weight
Male,19,1.8,70,no,yes,3,3,1,2,Normal_Weight
Female,18,1.64,59,yes,yes,2,3,1,1,Normal_Weight
Male,19,1.89,87,no,yes,2,4,2,3,Normal_Weight
Female,19,1.76,80,yes,yes,2,1,3,3,Overweight
Female,18,1.56,55,no,yes,2,3,1,0,Normal_Weight
Female,18,1.6,56,yes,yes,2,1,2,1,Normal_Weight
Female,19,1.67,64,no,yes,3,3,2,2,Normal_Weight
Female,19,1.6,60,no,yes,2,3,2,0,Normal_Weight
Female,18,1.55,56,no,yes,2,3,1,0,Normal_Weight
